gene_id	lnc_id	Total (abs)	Total (rel)	gene_name	CDT	all_bind_sites	pearson_cor	spearman_cor
ENSG00000157873.17	HSALNG0000275	75.0	1.49e-08	TNFRSF14	chr1:1240000-3360000	5.0	0.5666331409614701	0.7054733037175761
ENSG00000142611.17	HSALNG0000303	35.0	9.28e-10	PRDM16	chr1:1240000-3800000	82.0	0.6149469801369485	0.8012085556816498
ENSG00000142611.17	HSALNG0000316	68.0	6.33e-10	PRDM16	chr1:1240000-3800000	18.0	0.18099836853610893	0.6081269735652989
ENSG00000116731.22	HSALNG0000994	31.0	4.6e-10	PRDM2	chr1:12320000-14320000	0.0	0.7025691161955226	0.6400218872111094
ENSG00000132906.18	HSALNG0001078	10.0	4.8e-10	CASP9	chr1:14280000-16400000	0.0	0.5493996864973892	0.5311816112825872
ENSG00000132906.18	HSALNG0001079	4.0	1.88e-10	CASP9	chr1:14280000-16400000	0.0	0.744036548501524	0.5959680804328349
ENSG00000074964.17	HSALNG0142128	1.0	2.42e-11	ARHGEF10L	chr1:17240000-19200000	0.0	0.3535621669291602	0.5109703063144801
ENSG00000074964.17	HSALNG0001277	4.0	1.17e-10	ARHGEF10L	chr1:17240000-19200000	3.0	0.3531070544736686	0.5201771303467388
ENSG00000074964.17	HSALNG0001279	9.0	3.71e-10	ARHGEF10L	chr1:17240000-19200000	74.0	0.6339575070747447	0.6029150403797785
ENSG00000197323.12	HSALNG0141840	5.0	2.32e-10	TRIM33	chr1:114840000-115680000	0.0	0.8283904186975021	0.610542010065413
ENSG00000143437.21	HSALNG0007058	31.0	5.04e-10	ARNT	chr1:150200000-152000000	0.0	0.46797719935437054	0.5237613788530208
ENSG00000143379.12	HSALNG0007057	14.0	4.88e-10	SETDB1	chr1:150200000-152000000	1.0	0.5553504372595071	0.6400556265900762
ENSG00000143379.12	HSALNG0007058	58.0	1.64e-09	SETDB1	chr1:150200000-152000000	0.0	0.6019841944812988	0.7174282362672251
ENSG00000143379.12	HSALNG0007059	7.0	4.84e-10	SETDB1	chr1:150200000-152000000	0.0	0.5697796695309096	0.656398838548205
ENSG00000143379.12	HSALNG0007065	2.0	1.08e-10	SETDB1	chr1:150200000-152000000	0.0	0.5066383358403382	0.6241982448404392
ENSG00000143379.12	HSALNG0007066	2.0	6.83e-10	SETDB1	chr1:150200000-152000000	0.0	0.567305973239458	0.5703762478138888
ENSG00000143379.12	HSALNG0007079	140.0	1.59e-08	SETDB1	chr1:150200000-152000000	0.0	0.5446834045569457	0.501632519406455
ENSG00000143379.12	HSALNG0007140	30.0	3e-09	SETDB1	chr1:150200000-152000000	0.0	0.4946555503337043	0.5469356386776323
ENSG00000143379.12	HSALNG0007150	8.0	1.65e-08	SETDB1	chr1:150200000-152000000	0.0	0.4446984524468444	0.5008946949440438
ENSG00000072694.21	HSALNG0007958	2.0	4.66e-11	FCGR2B	chr1:161400000-162360000	2.0	0.8150341781936916	0.5186202264643328
ENSG00000185630.18	HSALNG0008111	29.0	1.17e-09	PBX1	chr1:163320000-165080000	0.0	0.6029612185309762	0.6915100172589285
ENSG00000185630.18	HSALNG0141949	13.0	6.19e-10	PBX1	chr1:163320000-165080000	0.0	0.6026341427319618	0.7810601291263232
ENSG00000185630.18	HSALNG0141951	42.0	3.74e-10	PBX1	chr1:163320000-165080000	0.0	0.754058566311704	0.8436772254172975
ENSG00000163435.16	HSALNG0009695	10.0	6.7e-09	ELF3	chr1:201800000-203000000	4.0	0.8931067096109788	0.9219199390951535
ENSG00000117020.18	HSALNG0012050	591.0	4.7e-09	AKT3	chr1:243200000-245240000	0.0	0.17197097072694598	0.5055459533474667
ENSG00000119772.16	HSALNG0013650	23.0	1.9e-10	DNMT3A	chr2:25040000-27600000	39.0	0.5799279876019047	0.599996015288447
ENSG00000119772.16	HSALNG0013651	9.0	1.6e-09	DNMT3A	chr2:25040000-27600000	0.0	0.5746987136472191	0.5356107807312572
ENSG00000115760.14	HSALNG0014084	1.0	8.56e-12	BIRC6	chr2:32000000-33840000	0.0	0.4682697747976079	0.5115109515349406
ENSG00000116016.14	HSALNG0014673	7.0	1.84e-10	EPAS1	chr2:46160000-47160000	24.0	0.2167131081218121	0.6212935262712028
ENSG00000119866.22	HSALNG0015201	1644.0	1.33e-08	BCL11A	chr2:56400000-60920000	27.0	0.1860717861574213	0.5154517330125417
ENSG00000119866.22	HSALNG0015224	288.0	1.16e-08	BCL11A	chr2:56400000-60920000	0.0	0.7017251820866526	0.7801959871883565
ENSG00000119866.22	HSALNG0146478	1.0	2.07e-11	BCL11A	chr2:56400000-60920000	1.0	0.8541467539393401	0.8818272833651786
ENSG00000119866.22	HSALNG0015225	1.0	2.99e-11	BCL11A	chr2:56400000-60920000	1.0	0.9008666435573187	0.9329438188322562
ENSG00000119866.22	HSALNG0146479	7.0	1.63e-10	BCL11A	chr2:56400000-60920000	3.0	0.842597825424413	0.8352635595081923
ENSG00000162924.14	HSALNG0015253	2.0	2.28e-11	REL	chr2:60840000-62120000	0.0	0.54359300622533	0.501680245380764
ENSG00000162924.14	HSALNG0015265	3.0	6.97e-11	REL	chr2:60840000-62120000	0.0	0.8634760889108988	0.7793303464780287
ENSG00000066032.18	HSALNG0016294	176.0	3.32e-09	CTNNA2	chr2:76800000-84160000	0.0	0.5790307334249059	0.5075245386818424
ENSG00000066032.18	HSALNG0016297	43.0	3.53e-10	CTNNA2	chr2:76800000-84160000	82.0	0.18211430632462147	0.5427497013978153
ENSG00000144218.19	HSALNG0017273	2.0	8.08e-11	AFF3	chr2:100120000-101600000	0.0	0.843399385637239	0.7090062699509513
ENSG00000144218.19	HSALNG0017274	96.0	1.46e-09	AFF3	chr2:100120000-101600000	1.0	0.7690211493579141	0.6975714905211502
ENSG00000144218.19	HSALNG0017275	13.0	1.28e-10	AFF3	chr2:100120000-101600000	0.0	0.6829045462597308	0.5905554030052351
ENSG00000144218.19	HSALNG0146550	35.0	2.36e-09	AFF3	chr2:100120000-101600000	0.0	0.615091423346363	0.5815500261155664
ENSG00000144218.19	HSALNG0017281	3.0	2.63e-11	AFF3	chr2:100120000-101600000	0.0	0.7936218954073688	0.7625165162747856
ENSG00000144218.19	HSALNG0017285	66.0	1.33e-09	AFF3	chr2:100120000-101600000	2.0	0.48649897590883184	0.7939227155199486
ENSG00000163161.14	HSALNG0018612	3.0	2.51e-09	ERCC3	chr2:127480000-129520000	0.0	0.5519434181360983	0.5234243901516575
ENSG00000168702.18	HSALNG0146225	4.0	4.03e-11	LRP1B	chr2:139600000-143360000	0.0	0.7730897316807693	0.7043786745589894
ENSG00000168702.18	HSALNG0019242	239.0	1.07e-08	LRP1B	chr2:139600000-143360000	0.0	0.7523435028945143	0.6123417682924613
ENSG00000168702.18	HSALNG0019247	1.0	7.85e-12	LRP1B	chr2:139600000-143360000	0.0	0.7430975440670474	0.7371592365619017
ENSG00000168702.18	HSALNG0019248	3.0	2.49e-11	LRP1B	chr2:139600000-143360000	0.0	0.8546176112649726	0.6931206758114843
ENSG00000128714.6	HSALNG0020587	1.0	6.87e-10	HOXD13	chr2:176080000-177000000	0.0	0.5522895833154204	0.5170186226876372
ENSG00000128713.14	HSALNG0020587	6.0	2.39e-09	HOXD11	chr2:176080000-178000000	19.0	0.7796076395582869	0.8076511192272963
ENSG00000128713.14	HSALNG0020588	1.0	3.15e-10	HOXD11	chr2:176080000-178000000	1.0	0.9057472230661676	0.7690125132244698
ENSG00000178568.15	HSALNG0021999	4.0	4.28e-11	ERBB4	chr2:211400000-213480000	0.0	0.7348620867213713	0.5232322328413725
ENSG00000178568.15	HSALNG0146712	221.0	3.83e-09	ERBB4	chr2:211400000-213480000	1.0	0.7324479720089303	0.5921644509881931
ENSG00000178568.15	HSALNG0022001	46.0	7.52e-10	ERBB4	chr2:211400000-213480000	0.0	0.3422660631623706	0.6221219357924065
ENSG00000178568.15	HSALNG0022006	50.0	4.54e-10	ERBB4	chr2:211400000-213480000	0.0	0.8287418310830222	0.6097243952619902
ENSG00000178568.15	HSALNG0022007	3.0	2.49e-11	ERBB4	chr2:211400000-213480000	0.0	0.5858691687516187	0.5549564732374809
ENSG00000178568.15	HSALNG0022008	1.0	5.05e-11	ERBB4	chr2:211400000-213480000	4.0	0.8993933938436657	0.7154137415858619
ENSG00000135903.19	HSALNG0022515	54.0	1.01e-09	PAX3	chr2:222840000-223520000	2.0	0.5546236156811231	0.6792085169560481
ENSG00000144476.6	HSALNG0023287	3.0	2.94e-10	ACKR3	chr2:237120000-238000000	0.0	0.4886207230539322	0.5617081874387923
ENSG00000144554.10	HSALNG0024091	13.0	1.08e-09	FANCD2	chr3:9400000-10400000	0.0	0.5497423261982778	0.5296525018770951
ENSG00000134086.7	HSALNG0024042	4.0	3.14e-10	VHL	chr3:9400000-10400000	1.0	0.49419634184516714	0.5608123979117894
ENSG00000134086.7	HSALNG0024054	1.0	2.27e-10	VHL	chr3:9400000-10400000	0.0	0.49267439205660274	0.5226236752002233
ENSG00000134086.7	HSALNG0024091	1.0	5.6e-10	VHL	chr3:9400000-10400000	0.0	0.8601840776969191	0.9053882104121618
ENSG00000132170.21	HSALNG0024208	4.0	8.23e-11	PPARG	chr3:11880000-12600000	0.0	0.3927395741207552	0.6518550578775067
ENSG00000132170.21	HSALNG0024214	3.0	8.02e-11	PPARG	chr3:11880000-12600000	0.0	0.6562219116079514	0.8859984525004
ENSG00000132170.21	HSALNG0024216	4.0	7.78e-11	PPARG	chr3:11880000-12600000	4.0	0.5721644550599903	0.7324545945928876
